id,dataset,type,group,repetitions,direct_mean_http_ms,one_token_mean_http_ms,json_mean_http_ms,one_token_minus_direct_ms,json_minus_direct_ms,all_conditions_valid
jcola:in_domain_valid:8076,JCoLA,noul,jcola-source:06bff9fef3e147878a0e63370f8303363959deceebaf2bc172b965029cd714e4,1,275.16933297738433,282.41258300840855,521.2641661055386,7.243250031024218,246.09483312815428,True
jcola:in_domain_valid:8159,JCoLA,noul,jcola-source:06bff9fef3e147878a0e63370f8303363959deceebaf2bc172b965029cd714e4,1,280.2130407653749,288.8827910646796,502.9861251823604,8.669750299304724,222.7730844169855,True
jcola:in_domain_valid:8232,JCoLA,noul,jcola-source:06bff9fef3e147878a0e63370f8303363959deceebaf2bc172b965029cd714e4,1,283.5446251556277,299.6983751654625,499.8017498292029,16.153750009834766,216.25712467357516,True
jcola:in_domain_valid:8341,JCoLA,noul,jcola-source:06bff9fef3e147878a0e63370f8303363959deceebaf2bc172b965029cd714e4,1,287.05675015226007,274.92725010961294,508.4175830706954,-12.129500042647123,221.36083291843534,True
jcola:in_domain_valid:8388,JCoLA,noul,jcola-source:06bff9fef3e147878a0e63370f8303363959deceebaf2bc172b965029cd714e4,1,288.7444170191884,285.650541074574,512.2685832902789,-3.0938759446144104,223.5241662710905,True
jcola:in_domain_valid:8563,JCoLA,noul,jcola-source:d0595cef02e125e2e7204aefc0c86ad9c28e7d6141700981f89916cb91b1f9a5,1,272.8670001961291,295.37999955937266,514.0038337558508,22.51299936324358,241.1368335597217,True
jcola:in_domain_valid:8584,JCoLA,noul,jcola-source:d0595cef02e125e2e7204aefc0c86ad9c28e7d6141700981f89916cb91b1f9a5,1,274.8711253516376,255.36266714334488,406.36937506496906,-19.508458208292723,131.49824971333146,True
jcola:in_domain_valid:940,JCoLA,noul,jcola-source:e45f968c75385ee71faa38d90da149ccba6521d731d8d9d40639604d159a8d9b,1,288.51912496611476,280.48720862716436,531.5317078493536,-8.031916338950396,243.0125828832388,True
jcola:out_of_domain_valid:10003,JCoLA,noul,jcola-source:74509f7a8c7682d0da0e2cacf75231fc81b87366ae6b756289312f04164327f9,1,272.10266701877117,277.7454168535769,492.34670819714665,5.642749834805727,220.24404117837548,True
jcola:out_of_domain_valid:8651,JCoLA,noul,jcola-source:b21598c9429c03ab4d3f35fed79afad9645f33c1dd9eb020f38508a65333ea9f,1,264.9716245941818,285.49795830622315,485.76399963349104,20.526333712041378,220.79237503930926,True
jcola:out_of_domain_valid:8667,JCoLA,noul,jcola-source:b21598c9429c03ab4d3f35fed79afad9645f33c1dd9eb020f38508a65333ea9f,1,279.7004170715809,284.3244159594178,500.1204162836075,4.623998887836933,220.4199992120266,True
jcola:out_of_domain_valid:8720,JCoLA,noul,jcola-source:d4b97620585242dd99110003bf6d08b9ebc79cf570607187331af5170399f0a3,1,299.59520790725946,308.76091588288546,529.850292019546,9.165707975625992,230.25508411228657,True
jcola:out_of_domain_valid:8733,JCoLA,noul,jcola-source:d4b97620585242dd99110003bf6d08b9ebc79cf570607187331af5170399f0a3,1,267.2372502274811,263.80212511867285,398.78362510353327,-3.435125108808279,131.54637487605214,True
jcola:out_of_domain_valid:8736,JCoLA,noul,jcola-source:d4b97620585242dd99110003bf6d08b9ebc79cf570607187331af5170399f0a3,1,284.02441600337625,283.32741698250175,438.87787498533726,-0.6969990208745003,154.853458981961,True
jcola:out_of_domain_valid:8744,JCoLA,noul,jcola-source:d4b97620585242dd99110003bf6d08b9ebc79cf570607187331af5170399f0a3,1,300.1587498001754,294.8042908683419,547.4234167486429,-5.354458931833506,247.2646669484675,True
